tdc ch to time para fullscallrange=651ns ch   a       b   sig a  sig b
0 0 6.3261 51.940
1 1 6.3283 47.385
2 2 6.1433 48.251 
3 3 6.2488 46.074 
4 4 6.2309 44.601 
5 5 6.2333 43.355 
6 6 6.1670 45.465 
7 7 6.2417 42.502 
8 8 6.2190 45.524 

